short_description,description,combined_desc,caller,assignment_group
plant power outage,received everyone power whole plant generator keep computer room running remote network drop turn back power,plant power outage received everyone power whole plant generator keep computer room running remote network drop turn back power,ekjobdiz ktelzwvg,GRP_0
unlock ad account user,unlock ad account user,unlock ad account user unlock ad account user,bvwepigr ekmarvgd,GRP_0
dell system slow slow,dell system slow connected user system cache temp user system bios advised user try check user working fine issue resolved,dell system slow slow dell system slow connected user system cache temp user system bios advised user try check user working fine issue resolved,jziwhldq qslwyozu,GRP_0
unable submit expense report,unable submit expense report,unable submit expense report unable submit expense report,mwjcsiug fbwthoca,GRP_0
change,change effective see list attached,change change effective see list attached,itylnjqw kqiurhbt,GRP_7
printer,printer setup,printer printer setup,aqourvgz mkehgcdu,GRP_19
printer driver update,printer driver update,printer driver update printer driver update,ybpeiolu cneoghxp,GRP_0
outlook not getting connected,outlook not getting connected,outlook not getting connected outlook not getting connected,gpdywmbt pmxfiqkl,GRP_0
audio not working driver issue,audio not working driver issue,audio not working driver issue audio not working driver issue,zyheqclo mrznuplg,GRP_0
incorrect vendor po extract,favor check po extract file po check vendor assigned po assigned vendor vendor see attachment screen,incorrect vendor po extract favor check po extract file po check vendor assigned po assigned vendor vendor see attachment screen,tckyrinp vbzqslco,GRP_6
ethics issue,received still cannot access module see message â€“ correct â€“,ethics issue received still cannot access module see message â€“ correct â€“,fmzdkyqv dbrslnhe,GRP_23
not able apply job company portal external user,not able apply job company portal external user,not able apply job company portal external user not able apply job company portal external user,efbwiadp dicafxhv,GRP_0
working home connection disconnected,continue get disconnected reconnect multiple times day,working home connection disconnected continue get disconnected reconnect multiple times day,gtfdvnry nxsaqrfh,GRP_0
login credential new,create login credential new user id user id,login credential new create login credential new user id user id,jloygrwh acvztedi,GRP_37
add distribution,add distribution,add distribution add distribution,muywpnof prtikusy,GRP_0
,received password today no problem message coming password change everything saying â€“ password successfully not able log business showing following let know, received password today no problem message coming password change everything saying â€“ password successfully not able log business showing following let know,wauhocsk vxuikqaf,GRP_0
call error no display note section group arent one note issue,call error no display note section group arent one note issue,call error no display note section group arent one note issue call error no display note section group arent one note issue,xfdkwusj gyklresa,GRP_22
ticket change iso no,received closed ticket,ticket change iso no received closed ticket,kmnsvzuq euyvihzc,GRP_2
ticket update ticket,coming,ticket update ticket coming,fumkcsji sarmtlhy,GRP_0
aw ticket change iso no,received would close ticket moment tried change iso no worked well excuse inconvenience,aw ticket change iso no received would close ticket moment tried change iso no worked well excuse inconvenience,cbupnjzo daflthkw,GRP_2
change ethics,received dear change company company mail site welcome company business ethics conduct center ethics training site indicate log used access site collaboration platform not match file within active directory submit ticket global support center ensure network log id correctly make sure access,change ethics received dear change company company mail site welcome company business ethics conduct center ethics training site indicate log used access site collaboration platform not match file within active directory submit ticket global support center ensure network log id correctly make sure access,lhejbwkc xbmyvnqf,GRP_2
